# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'context-switches'
# Event count (approx.): 83093
#
# Overhead  Command   Shared Object      Symbol      
# ........  ........  .................  ............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] schedule


# Samples: 8  of event 'cpu-migrations'
# Event count (approx.): 8
#
# Overhead  Command   Shared Object      Symbol        
# ........  ........  .................  ..............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] __schedule


# Samples: 33K of event 'cycles'
# Event count (approx.): 6450441809
#
# Overhead  Command   Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  ...................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    22.30%  handin_1  handin_1             [.] std::__detail::_Map_base<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*, std::pair<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >* const, std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*>, std::allocator<std::pair<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >* const, std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >, std::__detail::_Select1st, std::equal_to<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*>, std::hash<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[]
    19.63%  handin_1  handin_1             [.] ParallelBuffer::buf_worker
    15.53%  handin_1  [kernel.kallsyms]    [k] osq_lock
     5.12%  handin_1  [kernel.kallsyms]    [k] perf_iterate_ctx
     4.01%  handin_1  [kernel.kallsyms]    [k] rwsem_spin_on_owner
     2.90%  handin_1  [kernel.kallsyms]    [k] ctx_sched_in
     2.10%  handin_1  libc-2.27.so         [.] __libc_malloc
     1.69%  handin_1  libc-2.27.so         [.] cfree@GLIBC_2.2.5
     1.59%  handin_1  [kernel.kallsyms]    [k] native_write_msr
     1.50%  handin_1  [kernel.kallsyms]    [k] try_to_wake_up
     1.48%  handin_1  libc-2.27.so         [.] __memmove_ssse3
     1.34%  handin_1  libc-2.27.so         [.] _int_malloc
     0.97%  handin_1  [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath
     0.79%  handin_1  [kernel.kallsyms]    [k] clear_page_rep
     0.57%  handin_1  [kernel.kallsyms]    [k] release_pages
     0.56%  handin_1  libpthread-2.27.so   [.] __pthread_mutex_lock
     0.53%  handin_1  [kernel.kallsyms]    [k] native_read_msr
     0.51%  handin_1  [kernel.kallsyms]    [k] rwsem_down_write_failed_killable
     0.50%  handin_1  [kernel.kallsyms]    [k] page_fault
     0.48%  handin_1  [kernel.kallsyms]    [k] change_protection_range
     0.39%  handin_1  handin_1             [.] std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >::_M_realloc_insert<std::pair<unsigned long, unsigned long> const* const&>
     0.39%  handin_1  [kernel.kallsyms]    [k] wake_q_add
     0.39%  handin_1  [kernel.kallsyms]    [k] __rwsem_mark_wake
     0.37%  handin_1  [kernel.kallsyms]    [k] rwsem_down_read_failed
     0.37%  handin_1  libpthread-2.27.so   [.] pthread_mutex_unlock
     0.35%  handin_1  [kernel.kallsyms]    [k] free_pcppages_bulk
     0.33%  handin_1  [kernel.kallsyms]    [k] select_task_rq_fair
