# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'context-switches'
# Event count (approx.): 3839
#
# Overhead  Command   Shared Object      Symbol      
# ........  ........  .................  ............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] schedule


# Samples: 1  of event 'cpu-migrations'
# Event count (approx.): 1
#
# Overhead  Command   Shared Object      Symbol        
# ........  ........  .................  ..............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] __schedule


# Samples: 2K of event 'cycles'
# Event count (approx.): 771850255
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    41.50%  handin_1  handin_1           [.] std::__detail::_Map_base<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*, std::pair<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >* const, std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*>, std::allocator<std::pair<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >* const, std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >, std::__detail::_Select1st, std::equal_to<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*>, std::hash<std::vector<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*, std::allocator<std::vector<std::pair<unsigned long, unsigned long> const*, std::allocator<std::pair<unsigned long, unsigned long> const*> >*> >*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[]
    37.10%  handin_1  handin_1           [.] ParallelBuffer::buf_worker
     1.94%  handin_1  [kernel.kallsyms]  [k] clear_page_rep
     1.74%  handin_1  libc-2.27.so       [.] __memmove_ssse3
     1.16%  handin_1  [kernel.kallsyms]  [k] release_pages
     1.09%  handin_1  [kernel.kallsyms]  [k] page_fault
     1.02%  handin_1  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.67%  handin_1  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.66%  handin_1  [kernel.kallsyms]  [k] try_to_wake_up
     0.65%  handin_1  [kernel.kallsyms]  [k] unmap_page_range
     0.62%  handin_1  [kernel.kallsyms]  [k] native_write_msr
     0.54%  handin_1  [kernel.kallsyms]  [k] ctx_sched_in
     0.52%  handin_1  [kernel.kallsyms]  [k] page_remove_rmap
     0.44%  handin_1  [kernel.kallsyms]  [k] memset
     0.42%  handin_1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.40%  handin_1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.40%  handin_1  [kernel.kallsyms]  [k] up_read
     0.34%  handin_1  libc-2.27.so       [.] cfree@GLIBC_2.2.5
     0.31%  handin_1  [kernel.kallsyms]  [k] __dec_node_state
     0.29%  handin_1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.27%  handin_1  [kernel.kallsyms]  [k] free_unref_page_commit
     0.25%  handin_1  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.24%  handin_1  [kernel.kallsyms]  [k] down_read_trylock
     0.22%  handin_1  [kernel.kallsyms]  [k] free_unref_page_list
     0.22%  handin_1  [kernel.kallsyms]  [k] _vm_normal_page
     0.21%  handin_1  libc-2.27.so       [.] _int_malloc
     0.18%  handin_1  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.18%  handin_1  [kernel.kallsyms]  [k] __mod_node_page_state
     0.17%  handin_1  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.17%  handin_1  [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.17%  handin_1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.16%  handin_1  [kernel.kallsyms]  [k] native_read_msr
     0.14%  handin_1  [kernel.kallsyms]  [k] perf_event_alloc.part.88
     0.13%  handin_1  [kernel.kallsyms]  [k] uncharge_page
     0.13%  handin_1  [kernel.kallsyms]  [k] __schedule
     0.13%  handin_1  [kernel.kallsyms]  [k] vmacache_find
     0.12%  handin_1  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.12%  handin_1  [kernel.kallsyms]  [k] finish_task_switch
     0.12%  handin_1  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.12%  handin_1  [kernel.kallsyms]  [k] __default_send_IPI_dest_field
     0.12%  handin_1  [kernel.kallsyms]  [k] __do_page_fault
     0.12%  handin_1  [kernel.kallsyms]  [k] do_page_fault
     0.11%  handin_1  [kernel.kallsyms]  [k] x86_pmu_enable_all
     0.10%  handin_1  [kernel.kallsyms]  [k] down_write_killable
     0.10%  handin_1  [kernel.kallsyms]  [k] wake_q_add
     0.09%  handin_1  [kernel.kallsyms]  [k] kfree
     0.09%  handin_1  [kernel.kallsyms]  [k] free_pcp_prepare
