# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'context-switches'
# Event count (approx.): 6285
#
# Overhead  Command   Shared Object      Symbol           
# ........  ........  .................  .................
#
    99.94%  handin_1  [kernel.kallsyms]  [k] schedule
     0.06%  handin_1  [kernel.kallsyms]  [k] _cond_resched


# Samples: 3  of event 'cpu-migrations'
# Event count (approx.): 3
#
# Overhead  Command   Shared Object      Symbol        
# ........  ........  .................  ..............
#
   100.00%  handin_1  [kernel.kallsyms]  [k] __schedule


# Samples: 12K of event 'cycles'
# Event count (approx.): 4279555833
#
# Overhead  Command   Shared Object      Symbol                                        
# ........  ........  .................  ..............................................
#
    62.78%  handin_1  handin_1           [.] ConcurrentOutput::con_worker
     4.59%  handin_1  [kernel.kallsyms]  [k] smp_call_function_single
     2.84%  handin_1  [kernel.kallsyms]  [k] copy_page
     2.32%  handin_1  handin_1           [.] ConcurrentOutput::run
     2.02%  handin_1  [kernel.kallsyms]  [k] try_to_wake_up
     1.94%  handin_1  [kernel.kallsyms]  [k] page_fault
     1.60%  handin_1  [kernel.kallsyms]  [k] clear_page_rep
     0.92%  handin_1  [kernel.kallsyms]  [k] release_pages
     0.65%  handin_1  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.59%  handin_1  [kernel.kallsyms]  [k] get_page_from_freelist
     0.51%  handin_1  [kernel.kallsyms]  [k] unmap_page_range
     0.49%  handin_1  [kernel.kallsyms]  [k] call_function_single_interrupt
     0.48%  handin_1  [kernel.kallsyms]  [k] __handle_mm_fault
     0.47%  handin_1  [kernel.kallsyms]  [k] try_to_unmap_one
     0.46%  handin_1  [kernel.kallsyms]  [k] change_protection_range
     0.45%  handin_1  [kernel.kallsyms]  [k] ctx_sched_in
     0.38%  handin_1  [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.38%  handin_1  [kernel.kallsyms]  [k] _raw_spin_lock
     0.37%  handin_1  [kernel.kallsyms]  [k] up_read
     0.35%  handin_1  [kernel.kallsyms]  [k] migrate_pages
     0.35%  handin_1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.35%  handin_1  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.34%  handin_1  [kernel.kallsyms]  [k] page_remove_rmap
     0.34%  handin_1  [kernel.kallsyms]  [k] migrate_page_states
     0.33%  handin_1  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.32%  handin_1  [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.32%  handin_1  [kernel.kallsyms]  [k] page_counter_charge
     0.31%  handin_1  [kernel.kallsyms]  [k] handle_mm_fault
     0.30%  handin_1  [kernel.kallsyms]  [k] flush_tlb_func_common.constprop.10
     0.30%  handin_1  [kernel.kallsyms]  [k] down_read_trylock
     0.28%  handin_1  [kernel.kallsyms]  [k] __dec_node_state
     0.28%  handin_1  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.27%  handin_1  [kernel.kallsyms]  [k] do_numa_page
     0.26%  handin_1  [kernel.kallsyms]  [k] native_write_msr
